source_file,invoice_number,vendor,invoice_date,total_amount,currency,line_items,confidence,needs_review,amount_usd
1.pdf,IN/64328/26,DELPHI ELECTRONICS GMBH,2025-06-26,0.0,USD,[],0.4,True,0.0
2.pdf,IN/68031/26,ACME INDUSTRIAL SUPPLY,2025-07-27,11143.96,INR,[],1.0,False,133.73
3.pdf,INV33230-A,COPPER CANYON FOODS,2025-05-12,0.0,USD,[],0.4,True,0.0
4.pdf,IN/48913/26,NORTHWIND TRADERS LLC,2025-09-23,2761.5,GBP,[],1.0,False,3589.95
5.pdf,033932,CEDAR & PINE TIMBER,2025-08-03,0.0,USD,[],0.4,True,0.0
6.pdf,INV57518-A,DELPHI ELECTRONICS GMBH,2025-10-10,10385.0,JPY,[],1.0,False,10385.0
7.pdf,34147-2026,GLOBEX CORPORATION,2026-04-21,0.0,USD,[],0.4,True,0.0
8.pdf,PO-18890,COPPER CANYON FOODS,2026-01-14,4424.0,JPY,[],1.0,False,4424.0
9.pdf,INV16082-A,NORTHWIND TRADERS LLC,2026-06-19,0.0,USD,[],0.4,True,0.0
10.pdf,6069-2026,ZENITH MEDICAL SUPPLY,2025-10-12,15927.96,INR,[],1.0,False,191.14
11.pdf,INV-86759,ACME INDUSTRIAL SUPPLY,2025-02-13,0.0,USD,[],0.4,True,0.0
12.pdf,INV-52334,IRONCLAD HARDWARE INC,2025-02-10,1165.73,GBP,[],1.0,False,1515.45
13.pdf,012207,GLOBEX CORPORATION,2026-05-23,0.0,USD,[],0.4,True,0.0
14.pdf,INV-70735,CEDAR & PINE TIMBER,2025-06-28,17692.19,GBP,[],1.0,False,22999.85
15.pdf,INV-87715,CEDAR & PINE TIMBER,2026-01-15,0.0,USD,[],0.4,True,0.0
16.pdf,019968,BOMBAY TEXTILES PVT,2025-08-09,476.0,JPY,[],1.0,False,476.0
17.pdf,PO-98500,GLOBEX CORPORATION,2025-02-26,0.0,USD,[],0.4,True,0.0
18.pdf,072647,BOMBAY TEXTILES PVT,2025-11-16,10263.03,GBP,[],1.0,False,13341.94
19.pdf,PO-33865,BOMBAY TEXTILES PVT,2025-07-31,0.0,USD,[],0.4,True,0.0
20.pdf,INV98786-A,ATLAS PAPER & PRINT,2026-02-27,7.704,EUR,[],1.0,False,8.47
